phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.282116,0.077088,0.167494,0.160249,0.134944,0.134944
phase1,2,0.850605,0.162317,0.235038,0.29388,0.230412,0.230412
phase1,3,0.761835,0.224935,0.294708,0.281091,0.266911,0.266911
phase1,4,0.67641,0.572498,0.325251,0.31031,0.402686,0.402686
phase1,5,0.603035,0.593948,0.374931,0.307812,0.425564,0.425564
phase2,1,0.50363,0.66363,0.42998,0.346241,0.47995,0.47995
phase2,2,0.416207,0.723407,0.465986,0.395483,0.528292,0.528292
phase2,3,0.369019,0.726608,0.494186,0.404682,0.541825,0.541825
phase2,4,0.331911,0.733262,0.494745,0.396277,0.541428,0.541825
phase2,5,0.305625,0.743842,0.505402,0.400684,0.549976,0.549976
phase2,6,0.290767,0.752846,0.485559,0.393249,0.543885,0.549976
phase2,7,0.272924,0.762006,0.498693,0.40453,0.555076,0.555076
phase2,8,0.259969,0.759363,0.502444,0.396355,0.552721,0.555076
phase2,9,0.245941,0.763186,0.502844,0.372159,0.546063,0.555076
phase2,10,0.235372,0.762292,0.513813,0.389585,0.55523,0.55523
phase2,11,0.226402,0.770525,0.508971,0.387506,0.555667,0.555667
phase2,12,0.217929,0.768419,0.504522,0.384492,0.552478,0.555667
phase2,13,0.212031,0.770101,0.507249,0.384526,0.553959,0.555667
phase2,14,0.205938,0.769156,0.512557,0.381055,0.554256,0.555667
phase2,15,0.205567,0.769283,0.510412,0.382999,0.554231,0.555667
test,-,-,0.803993,0.473025,0.453837,0.576952,-
