phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.168447,0.345659,0.127159,0.100465,0.191095,0.191095
phase1,2,0.802296,0.519428,0.215465,0.267519,0.334137,0.334137
phase1,3,0.72987,0.568944,0.192162,0.23634,0.332482,0.334137
phase1,4,0.659957,0.609517,0.279432,0.286559,0.391836,0.391836
phase1,5,0.610002,0.608925,0.323578,0.308259,0.413587,0.413587
phase2,1,0.530192,0.667864,0.411765,0.302044,0.460558,0.460558
phase2,2,0.460802,0.693209,0.448935,0.411132,0.517759,0.517759
phase2,3,0.405176,0.697052,0.446202,0.368468,0.503907,0.517759
phase2,4,0.371912,0.73103,0.468389,0.391045,0.530155,0.530155
phase2,5,0.348458,0.725777,0.481165,0.439196,0.548713,0.548713
phase2,6,0.321053,0.744837,0.479637,0.426765,0.550413,0.550413
phase2,7,0.311304,0.742278,0.472788,0.430826,0.548631,0.550413
phase2,8,0.298228,0.750369,0.483065,0.431027,0.55482,0.55482
phase2,9,0.285304,0.758167,0.470767,0.421862,0.550265,0.55482
phase2,10,0.275497,0.75591,0.474254,0.413091,0.547752,0.55482
phase2,11,0.263426,0.755326,0.483457,0.40825,0.549011,0.55482
phase2,12,0.259138,0.761365,0.47872,0.416405,0.552164,0.55482
phase2,13,0.251901,0.755132,0.482792,0.413214,0.550379,0.55482
phase2,14,0.252383,0.757185,0.480741,0.421803,0.553243,0.55482
phase2,15,0.244837,0.758266,0.48196,0.421961,0.554062,0.55482
test,-,-,0.768373,0.449474,0.551291,0.589712,-
