phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.762888,0.254662,0.259709,0.243532,0.252635,0.252635
phase1,2,0.723907,0.343906,0.281836,0.279281,0.301674,0.301674
phase1,3,0.684049,0.369601,0.274068,0.273224,0.305631,0.305631
phase1,4,0.672659,0.392187,0.282132,0.283052,0.319124,0.319124
phase1,5,0.665015,0.400987,0.279998,0.281976,0.320987,0.320987
phase2,1,0.624089,0.555788,0.3789,0.363847,0.432845,0.432845
phase2,2,0.514598,0.616817,0.445963,0.401015,0.487932,0.487932
phase2,3,0.464329,0.648488,0.443068,0.415328,0.502295,0.502295
phase2,4,0.431311,0.663976,0.454141,0.393513,0.503877,0.503877
phase2,5,0.393347,0.664425,0.466779,0.405853,0.512353,0.512353
phase2,6,0.36685,0.676184,0.453362,0.397123,0.50889,0.512353
phase2,7,0.350867,0.676158,0.453938,0.38417,0.504755,0.512353
phase2,8,0.332326,0.67833,0.469014,0.394412,0.513919,0.513919
phase2,9,0.321235,0.676891,0.457469,0.385624,0.506661,0.513919
phase2,10,0.305107,0.679914,0.465273,0.393679,0.512955,0.513919
phase2,11,0.292915,0.685034,0.464881,0.388376,0.512764,0.513919
phase2,12,0.288567,0.682322,0.467065,0.3771,0.508829,0.513919
phase2,13,0.284836,0.683686,0.464599,0.379984,0.509423,0.513919
phase2,14,0.275158,0.683123,0.465456,0.383139,0.510573,0.513919
phase2,15,0.27449,0.681134,0.465551,0.380491,0.509059,0.513919
test,-,-,0.707834,0.475863,0.497112,0.56027,-
