phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.76124,0.3143,0.22986,0.224985,0.256382,0.256382
phase1,2,0.723532,0.399325,0.258751,0.285483,0.31452,0.31452
phase1,3,0.684751,0.444373,0.262738,0.280156,0.329089,0.329089
phase1,4,0.677931,0.456835,0.264606,0.287828,0.336423,0.336423
phase1,5,0.655101,0.459734,0.266103,0.288452,0.338096,0.338096
phase2,1,0.613062,0.589032,0.363789,0.344979,0.4326,0.4326
phase2,2,0.51118,0.637314,0.437963,0.397051,0.490776,0.490776
phase2,3,0.453839,0.672808,0.451253,0.40411,0.50939,0.50939
phase2,4,0.4134,0.687766,0.459955,0.401196,0.516306,0.516306
phase2,5,0.381118,0.689295,0.46082,0.392894,0.514336,0.516306
phase2,6,0.352631,0.69552,0.460067,0.400544,0.51871,0.51871
phase2,7,0.331326,0.705359,0.465985,0.388541,0.519962,0.519962
phase2,8,0.317085,0.690382,0.469931,0.40262,0.520978,0.520978
phase2,9,0.305895,0.697263,0.467359,0.402664,0.522429,0.522429
phase2,10,0.291066,0.699302,0.467387,0.395127,0.520605,0.522429
phase2,11,0.283254,0.703715,0.463998,0.393714,0.520476,0.522429
phase2,12,0.273596,0.704261,0.472148,0.390323,0.522244,0.522429
phase2,13,0.267428,0.697921,0.473903,0.394872,0.522232,0.522429
phase2,14,0.263975,0.69927,0.469635,0.38777,0.518892,0.522429
phase2,15,0.259255,0.698436,0.467696,0.387941,0.518024,0.522429
test,-,-,0.718857,0.470779,0.471987,0.553874,-
