phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.75998,0.380297,0.177208,0.204785,0.254097,0.254097
phase1,2,0.725771,0.464634,0.230972,0.302018,0.332541,0.332541
phase1,3,0.688194,0.507114,0.263237,0.313582,0.361311,0.361311
phase1,4,0.676217,0.517695,0.266028,0.320164,0.367962,0.367962
phase1,5,0.652411,0.520434,0.267755,0.322398,0.370196,0.370196
phase2,1,0.606798,0.641337,0.363003,0.343024,0.449121,0.449121
phase2,2,0.50554,0.675318,0.430517,0.378599,0.494811,0.494811
phase2,3,0.443333,0.69129,0.434202,0.413319,0.512937,0.512937
phase2,4,0.407084,0.722944,0.454412,0.411371,0.529575,0.529575
phase2,5,0.371248,0.718769,0.467331,0.388363,0.524821,0.529575
phase2,6,0.344512,0.727976,0.465567,0.423021,0.538855,0.538855
phase2,7,0.322209,0.729841,0.464834,0.380061,0.524912,0.538855
phase2,8,0.308967,0.732312,0.478638,0.406916,0.539289,0.539289
phase2,9,0.296225,0.728899,0.4655,0.390748,0.528383,0.539289
phase2,10,0.277833,0.731951,0.475951,0.389021,0.532307,0.539289
phase2,11,0.274817,0.73325,0.475548,0.402044,0.536947,0.539289
phase2,12,0.262088,0.733033,0.474596,0.373394,0.527007,0.539289
phase2,13,0.256374,0.736144,0.480116,0.391811,0.536024,0.539289
phase2,14,0.251148,0.737711,0.473555,0.371198,0.527488,0.539289
phase2,15,0.244429,0.737318,0.473864,0.37545,0.528877,0.539289
test,-,-,0.754885,0.505226,0.51237,0.590827,-
