phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,2.210581,0.298736,0.192451,0.228077,0.239755,0.239755
phase1,2,0.67697,0.37383,0.281698,0.314287,0.323272,0.323272
phase1,3,0.652489,0.392512,0.302151,0.32825,0.340971,0.340971
phase1,4,0.635008,0.414011,0.306517,0.332087,0.350872,0.350872
phase1,5,0.623001,0.41696,0.304637,0.331964,0.351187,0.351187
phase2,1,0.5934,0.514551,0.363526,0.36567,0.414582,0.414582
phase2,2,0.528753,0.572951,0.404984,0.394617,0.457517,0.457517
phase2,3,0.491678,0.612875,0.43097,0.422157,0.488667,0.488667
phase2,4,0.45576,0.62432,0.441797,0.41129,0.492469,0.492469
phase2,5,0.418372,0.634601,0.444653,0.41818,0.499145,0.499145
phase2,6,0.39599,0.647075,0.444432,0.412506,0.501338,0.501338
phase2,7,0.37305,0.645432,0.432221,0.411859,0.496504,0.501338
phase2,8,0.356317,0.648533,0.432277,0.403044,0.494618,0.501338
phase2,9,0.335009,0.648766,0.430505,0.400698,0.493323,0.501338
phase2,10,0.331387,0.651158,0.442221,0.40568,0.499686,0.501338
phase2,11,0.315588,0.651665,0.435516,0.396184,0.494455,0.501338
phase2,12,0.308666,0.645431,0.432709,0.3998,0.492646,0.501338
phase2,13,0.303972,0.649218,0.435029,0.395315,0.493187,0.501338
phase2,14,0.297534,0.649774,0.435332,0.393807,0.492971,0.501338
phase2,15,0.291049,0.649532,0.435536,0.393136,0.492735,0.501338
test,-,-,0.680657,0.493842,0.507336,0.560612,-
