phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.350988,0.225036,0.064801,0.215415,0.168417,0.168417
phase1,2,0.687725,0.314358,0.19887,0.245319,0.252849,0.252849
phase1,3,0.664599,0.309086,0.210946,0.255007,0.258346,0.258346
phase1,4,0.646298,0.311882,0.206083,0.263455,0.260473,0.260473
phase1,5,0.630778,0.351401,0.220152,0.266981,0.279511,0.279511
phase2,1,0.619273,0.440004,0.322497,0.312134,0.358212,0.358212
phase2,2,0.564654,0.534243,0.402663,0.360287,0.432398,0.432398
phase2,3,0.519777,0.582732,0.418568,0.401006,0.467435,0.467435
phase2,4,0.477515,0.606357,0.428641,0.397426,0.477475,0.477475
phase2,5,0.444291,0.611468,0.425349,0.393337,0.476718,0.477475
phase2,6,0.422369,0.617257,0.425399,0.389545,0.4774,0.477475
phase2,7,0.401122,0.623747,0.429237,0.393289,0.482091,0.482091
phase2,8,0.381529,0.629377,0.431572,0.386364,0.482438,0.482438
phase2,9,0.367771,0.626247,0.42785,0.381399,0.478498,0.482438
phase2,10,0.348746,0.629117,0.428191,0.385222,0.480844,0.482438
phase2,11,0.345672,0.633891,0.432739,0.389138,0.485256,0.485256
phase2,12,0.337782,0.625201,0.427182,0.38549,0.479291,0.485256
phase2,13,0.328897,0.629105,0.430399,0.382267,0.480591,0.485256
phase2,14,0.322919,0.629177,0.428044,0.382885,0.480035,0.485256
phase2,15,0.321054,0.628699,0.428666,0.385613,0.480993,0.485256
test,-,-,0.663706,0.482487,0.498574,0.548256,-
