phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,2.18854,0.486474,0.142169,0.151984,0.260209,0.260209
phase1,2,0.685025,0.539165,0.236042,0.228802,0.334669,0.334669
phase1,3,0.634626,0.560662,0.259982,0.222537,0.347727,0.347727
phase1,4,0.617507,0.572946,0.269705,0.229999,0.35755,0.35755
phase1,5,0.604068,0.574953,0.268621,0.228363,0.357312,0.35755
phase2,1,0.570638,0.638529,0.33514,0.266974,0.413548,0.413548
phase2,2,0.487622,0.680455,0.435682,0.366809,0.494315,0.494315
phase2,3,0.43372,0.708079,0.461615,0.419145,0.529613,0.529613
phase2,4,0.389045,0.711486,0.456614,0.405015,0.524372,0.529613
phase2,5,0.350383,0.722269,0.475342,0.404765,0.534125,0.534125
phase2,6,0.332176,0.725835,0.461701,0.396893,0.528143,0.534125
phase2,7,0.312891,0.728874,0.456585,0.416181,0.53388,0.534125
phase2,8,0.298644,0.734603,0.470685,0.417352,0.54088,0.54088
phase2,9,0.278976,0.729276,0.469185,0.417998,0.53882,0.54088
phase2,10,0.270692,0.732172,0.476033,0.411234,0.539813,0.54088
phase2,11,0.256441,0.738512,0.470348,0.425393,0.544751,0.544751
phase2,12,0.250588,0.730396,0.474666,0.434793,0.546618,0.546618
phase2,13,0.244799,0.732036,0.471604,0.426713,0.543451,0.546618
phase2,14,0.237452,0.733241,0.46995,0.421932,0.541708,0.546618
phase2,15,0.23406,0.732681,0.472636,0.425807,0.543708,0.546618
test,-,-,0.772444,0.479732,0.522777,0.591651,-
