phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.343824,0.389747,0.016545,-0.026359,0.126645,0.126645
phase1,2,0.686184,0.449795,0.113899,0.059987,0.207894,0.207894
phase1,3,0.668474,0.465652,0.11536,0.056018,0.212344,0.212344
phase1,4,0.650727,0.470972,0.1346,0.079027,0.2282,0.2282
phase1,5,0.633441,0.483961,0.140576,0.078956,0.234498,0.234498
phase2,1,0.615449,0.584552,0.261761,0.180789,0.342367,0.342367
phase2,2,0.538631,0.659911,0.404361,0.359871,0.474715,0.474715
phase2,3,0.468423,0.686173,0.434122,0.378794,0.499697,0.499697
phase2,4,0.415869,0.693125,0.429102,0.365338,0.495855,0.499697
phase2,5,0.385694,0.691753,0.453717,0.376409,0.507293,0.507293
phase2,6,0.357402,0.698972,0.441228,0.359892,0.500031,0.507293
phase2,7,0.334464,0.7098,0.455124,0.375864,0.513596,0.513596
phase2,8,0.316361,0.708306,0.458923,0.386611,0.517947,0.517947
phase2,9,0.305699,0.708858,0.457288,0.387876,0.518007,0.518007
phase2,10,0.289559,0.708193,0.461996,0.386445,0.518878,0.518878
phase2,11,0.281949,0.714194,0.465765,0.405908,0.528622,0.528622
phase2,12,0.272279,0.709495,0.465062,0.400997,0.525185,0.528622
phase2,13,0.26229,0.712712,0.465988,0.394199,0.5243,0.528622
phase2,14,0.26284,0.71117,0.463873,0.39047,0.521838,0.528622
phase2,15,0.254228,0.711797,0.463581,0.394245,0.523208,0.528622
test,-,-,0.760156,0.47644,0.504524,0.580373,-
