phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,2.191639,0.451611,0.107772,0.135949,0.231777,0.231777
phase1,2,0.68221,0.515063,0.216151,0.215888,0.3157,0.3157
phase1,3,0.641116,0.545533,0.244951,0.222755,0.337747,0.337747
phase1,4,0.624778,0.560013,0.253394,0.22855,0.347319,0.347319
phase1,5,0.609315,0.562676,0.253163,0.228217,0.348019,0.348019
phase2,1,0.578934,0.630053,0.322216,0.257293,0.403187,0.403187
phase2,2,0.495503,0.681633,0.42933,0.366455,0.492472,0.492472
phase2,3,0.444144,0.702426,0.458093,0.410954,0.523825,0.523825
phase2,4,0.3963,0.705685,0.452506,0.388863,0.515685,0.523825
phase2,5,0.357552,0.718505,0.477697,0.411645,0.535949,0.535949
phase2,6,0.341393,0.721192,0.468554,0.401371,0.530372,0.535949
phase2,7,0.320789,0.725159,0.466646,0.411775,0.534526,0.535949
phase2,8,0.301469,0.730544,0.478279,0.411395,0.540073,0.540073
phase2,9,0.285578,0.727463,0.472606,0.406677,0.535582,0.540073
phase2,10,0.275444,0.731912,0.479768,0.399005,0.536895,0.540073
phase2,11,0.261399,0.735277,0.477934,0.418264,0.543825,0.543825
phase2,12,0.256018,0.727082,0.478331,0.420832,0.542082,0.543825
phase2,13,0.248451,0.730192,0.479349,0.414009,0.541183,0.543825
phase2,14,0.242882,0.728893,0.476684,0.408904,0.538161,0.543825
phase2,15,0.237257,0.729412,0.478414,0.411361,0.539729,0.543825
test,-,-,0.769501,0.477106,0.522387,0.589665,-
