phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.303478,0.466638,0.286553,0.275459,0.342884,0.342884
phase1,2,0.778569,0.54669,0.363101,0.345443,0.418411,0.418411
phase1,3,0.6871,0.623055,0.398239,0.3572,0.459498,0.459498
phase1,4,0.594697,0.622901,0.41664,0.359525,0.466356,0.466356
phase1,5,0.536943,0.633399,0.420487,0.354773,0.469553,0.469553
phase2,1,0.484398,0.674908,0.450756,0.36913,0.498265,0.498265
phase2,2,0.434424,0.697417,0.486309,0.382048,0.521925,0.521925
phase2,3,0.386231,0.703671,0.493201,0.402223,0.533032,0.533032
phase2,4,0.351043,0.728773,0.495024,0.406439,0.543412,0.543412
phase2,5,0.319101,0.731259,0.492681,0.388534,0.537491,0.543412
phase2,6,0.294497,0.73144,0.507177,0.403146,0.547254,0.547254
phase2,7,0.272266,0.737017,0.505612,0.423942,0.555524,0.555524
phase2,8,0.251747,0.737167,0.485931,0.409277,0.544125,0.555524
phase2,9,0.240598,0.748309,0.496237,0.423864,0.556137,0.556137
phase2,10,0.2291,0.737074,0.491163,0.419407,0.549215,0.556137
phase2,11,0.217984,0.740641,0.482684,0.421863,0.548396,0.556137
phase2,12,0.208343,0.742035,0.480898,0.422433,0.548455,0.556137
phase2,13,0.201745,0.740783,0.483978,0.420554,0.548438,0.556137
phase2,14,0.195995,0.741625,0.48197,0.425642,0.549746,0.556137
phase2,15,0.194362,0.742022,0.481949,0.422588,0.548853,0.556137
test,-,-,0.791193,0.50332,0.533371,0.609295,-
