phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.342875,0.253128,0.040325,0.168549,0.154001,0.154001
phase1,2,0.685881,0.315965,0.162848,0.213758,0.230857,0.230857
phase1,3,0.662585,0.326254,0.181557,0.23053,0.246114,0.246114
phase1,4,0.645411,0.341641,0.184158,0.237517,0.254439,0.254439
phase1,5,0.627868,0.372713,0.189845,0.238498,0.267019,0.267019
phase2,1,0.61812,0.501352,0.290479,0.275169,0.355666,0.355666
phase2,2,0.555175,0.582637,0.39909,0.327738,0.436488,0.436488
phase2,3,0.502709,0.613196,0.413122,0.370583,0.465634,0.465634
phase2,4,0.451381,0.625608,0.413715,0.362802,0.467375,0.467375
phase2,5,0.419076,0.632382,0.435308,0.355526,0.474405,0.474405
phase2,6,0.393256,0.63781,0.425957,0.360403,0.474723,0.474723
phase2,7,0.370215,0.647536,0.440815,0.373355,0.487235,0.487235
phase2,8,0.350265,0.657557,0.441272,0.373958,0.490929,0.490929
phase2,9,0.334788,0.651254,0.436355,0.367591,0.485067,0.490929
phase2,10,0.320399,0.657672,0.434466,0.36188,0.484673,0.490929
phase2,11,0.313727,0.659113,0.437846,0.368663,0.488541,0.490929
phase2,12,0.306701,0.650208,0.434075,0.360164,0.481482,0.490929
phase2,13,0.293687,0.651742,0.434907,0.359509,0.482053,0.490929
phase2,14,0.286906,0.654736,0.432198,0.357091,0.481342,0.490929
phase2,15,0.283966,0.653499,0.434337,0.361815,0.483217,0.490929
test,-,-,0.6934,0.468514,0.484092,0.548669,-
