phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.756788,0.346939,0.188723,0.225157,0.253606,0.253606
phase1,2,0.728428,0.458495,0.24224,0.302788,0.334508,0.334508
phase1,3,0.686608,0.494515,0.263415,0.306899,0.354943,0.354943
phase1,4,0.675108,0.505793,0.263463,0.31056,0.359939,0.359939
phase1,5,0.653026,0.509071,0.264223,0.312281,0.361858,0.361858
phase2,1,0.604969,0.62507,0.36659,0.34306,0.444907,0.444907
phase2,2,0.504137,0.664578,0.42795,0.365517,0.486015,0.486015
phase2,3,0.443124,0.676879,0.427511,0.407213,0.503868,0.503868
phase2,4,0.406929,0.704944,0.449761,0.391323,0.515343,0.515343
phase2,5,0.374174,0.714503,0.459508,0.387181,0.520397,0.520397
phase2,6,0.348646,0.712897,0.457901,0.384129,0.518309,0.520397
phase2,7,0.323706,0.722093,0.459087,0.370585,0.517255,0.520397
phase2,8,0.313832,0.72218,0.469151,0.398672,0.530001,0.530001
phase2,9,0.300458,0.723336,0.461773,0.387388,0.524166,0.530001
phase2,10,0.28456,0.719392,0.4631,0.375796,0.51943,0.530001
phase2,11,0.279805,0.723961,0.460323,0.388064,0.524116,0.530001
phase2,12,0.266337,0.722776,0.461363,0.364852,0.51633,0.530001
phase2,13,0.258714,0.724857,0.46563,0.378763,0.523083,0.530001
phase2,14,0.25698,0.727626,0.458697,0.365634,0.517319,0.530001
phase2,15,0.24946,0.727549,0.45892,0.367901,0.518123,0.530001
test,-,-,0.735227,0.50235,0.502186,0.579921,-
