phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.76071,0.371076,0.186875,0.213032,0.256994,0.256994
phase1,2,0.72582,0.461133,0.232298,0.301171,0.331534,0.331534
phase1,3,0.689234,0.508287,0.268719,0.316694,0.364567,0.364567
phase1,4,0.675446,0.519938,0.266154,0.322495,0.369529,0.369529
phase1,5,0.653484,0.522707,0.268165,0.325187,0.37202,0.37202
phase2,1,0.608693,0.636472,0.358583,0.343722,0.446259,0.446259
phase2,2,0.505881,0.672348,0.427468,0.377669,0.492495,0.492495
phase2,3,0.444934,0.688632,0.444943,0.4028,0.512125,0.512125
phase2,4,0.408702,0.716088,0.465344,0.412999,0.531477,0.531477
phase2,5,0.371835,0.709652,0.465958,0.39138,0.52233,0.531477
phase2,6,0.345794,0.718553,0.472094,0.420336,0.536994,0.536994
phase2,7,0.324252,0.725056,0.470677,0.388447,0.52806,0.536994
phase2,8,0.312872,0.728225,0.486499,0.412367,0.542364,0.542364
phase2,9,0.300298,0.727559,0.47277,0.401474,0.533935,0.542364
phase2,10,0.282449,0.726292,0.479893,0.405782,0.537322,0.542364
phase2,11,0.275842,0.726416,0.482213,0.41973,0.542787,0.542787
phase2,12,0.268455,0.725645,0.47993,0.392535,0.532703,0.542787
phase2,13,0.261029,0.7288,0.481934,0.404322,0.538352,0.542787
phase2,14,0.254999,0.731363,0.479435,0.392283,0.53436,0.542787
phase2,15,0.24828,0.730326,0.477789,0.390836,0.532983,0.542787
test,-,-,0.745182,0.476945,0.470874,0.564334,-
