phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.769205,0.34452,0.123244,0.106804,0.191523,0.191523
phase1,2,0.736059,0.440556,0.180086,0.194701,0.271781,0.271781
phase1,3,0.698487,0.484647,0.206075,0.202388,0.297703,0.297703
phase1,4,0.685301,0.499863,0.211821,0.210928,0.307537,0.307537
phase1,5,0.664291,0.503216,0.215264,0.211724,0.310068,0.310068
phase2,1,0.613843,0.644207,0.318553,0.262011,0.408257,0.408257
phase2,2,0.497765,0.703408,0.448355,0.440538,0.530767,0.530767
phase2,3,0.428546,0.714672,0.454246,0.409208,0.526042,0.530767
phase2,4,0.395218,0.733179,0.480254,0.428138,0.54719,0.54719
phase2,5,0.363209,0.725786,0.487509,0.426721,0.546672,0.54719
phase2,6,0.338298,0.74587,0.488648,0.432222,0.55558,0.55558
phase2,7,0.322052,0.74384,0.48141,0.415803,0.547018,0.55558
phase2,8,0.305442,0.74337,0.490821,0.430868,0.55502,0.55558
phase2,9,0.292173,0.742434,0.490581,0.429547,0.554187,0.55558
phase2,10,0.275182,0.745064,0.482876,0.436289,0.554743,0.55558
phase2,11,0.271776,0.746464,0.476778,0.422513,0.548585,0.55558
phase2,12,0.25991,0.741852,0.486241,0.420728,0.549607,0.55558
phase2,13,0.254296,0.748762,0.486535,0.41808,0.551126,0.55558
phase2,14,0.250733,0.750158,0.487024,0.419627,0.552269,0.55558
phase2,15,0.242307,0.749081,0.485603,0.419043,0.551242,0.55558
test,-,-,0.790126,0.492275,0.555448,0.612617,-
